Blattner,Log2(pdxJ/WT 20nM)
b3946,-0.597678412
b3956,-0.320252879
b3957,-0.817904352
b3960,-2.136142099
b3967,-0.921200771
b3974,-0.130745735
b3991,1.693445795
b4005,-1.521700336
b4013,0.705848644
b4015,0.595022321
b4019,-0.614304738
b4024,-1.516861983
b4025,-0.957551955
b4031,1.476610956
b4032,-0.178921818
b4033,-0.326051749
b4034,-1.55512741
b4035,-1.448476875
b4039,-0.795857871
b4040,-0.527744538
b4053,-0.731453578
b4054,-0.03692357
b4064,-1.392961003
b4067,0.593899131
b4077,-0.075019527
b4085,0.108132341
b4086,-0.225376693
b4087,0.482471162
b4088,-0.696189697
b4111,0.150131704
b4119,0.273493335
b4122,-2.088451712
b4123,-2.948488061
b4130,0.15789439
b4138,-0.730919839
b4139,-1.945947209
b4141,1.054882098
b4151,-2.396945774
b4152,-2.511290983
b4153,-2.742225904
b4154,-2.899807059
b4160,-0.663907569
b4177,-0.837733012
b4193,-0.42403536
b4194,-0.34989523
b4195,0.045269117
b4208,-0.971709809
b4219,-0.043272164
b4227,-1.211469129
b4230,0.541133628
b4231,0.585540256
b4232,-0.807472976
b4239,0.321907899
b4240,-0.111422947
b4244,0.185242088
b4245,0.178834594
b4254,-2.534371338
b4260,-0.577889637
b4265,0.919714678
b4266,0.690199318
b4268,-0.479551209
b4287,-1.18881924
b4288,-1.302274324
b4289,-1.473225812
b4290,-1.406845241
b4321,0.175969797
b4374,0.004105372
b4382,-0.271018026
b4384,-0.906190324
b4388,-0.018319524
b4464,0.369030509
b4467,-0.197953367
b4468,0.125495391
b4471,0.423298763
b4476,0.149476733
b4477,0.202041138
b4478,0.560347297
b4485,-0.025802771
