id,flux
R_ASNt2m@iMM904,0.0
R_ASNt2r@iMM904,0.0
R_ASNt6@iMM904,0.0
R_ASNt7@iMM904,0.0
R_ASPCT@iMM904,0.017606273219884703
R_ASPGLU2m@iMM904,0.0
R_ASPGLUtp@iMM904,0.0
R_ASPK@iMM904,0.06921525855339848
R_ASPOcm@iMM904,0.0
R_ASPTA@iMM904,0.09699456380562567
R_ASPTAm@iMM904,-0.3071539294671065
R_ASPTAp@iMM904,0.0
R_ASPTRS@iMM904,0.0
R_ASPTRSm@iMM904,0.0
R_ASPt2m@iMM904,-0.3071539294671065
R_ASPt2n@iMM904,0.0
R_ASPt2r@iMM904,0.0
R_ASPt5n@iMM904,0.0
R_ASPt7@iMM904,0.0
R_ATHRDHr@iMM904,0.0
R_ATP2tp_H@iMM904,0.0
R_ATPATF1@iMM904,0.0
R_ATPATF2@iMM904,0.0
R_ATPATF3@iMM904,0.0
R_ATPH1@iMM904,0.0
R_ATPM@iMM904,1.0
R_ATPPRT@iMM904,0.0105542126083034
R_ATPS@iMM904,0.8322338897410649
R_ATPS3g@iMM904,0.0
R_ATPS3m@iMM904,4.2896692883645775
R_ATPS3v@iMM904,0.0
R_ATPtm_H@iMM904,4.743738494094177
R_ATPtp_H@iMM904,0.0
R_BACCL@iMM904,0.0
R_BPNT@iMM904,0.009121514064189816
R_BTDD_RR@iMM904,0.0
R_BTDt_RR@iMM904,0.0
R_BTNt2i@iMM904,0.0
R_BTSr@iMM904,0.0
R_C14STR@iMM904,0.0003502151996722094
R_C22STDS@iMM904,0.0
R_C22STDSx@iMM904,0.0
R_C24STRer@iMM904,0.00011143210898661208
R_C3STDH1@iMM904,0.0003502151996722094
R_C3STDH2@iMM904,0.0003502151996722094
R_C3STKR1@iMM904,0.0003502151996722094
R_C3STKR2@iMM904,0.0003502151996722094
R_C4STMO1@iMM904,0.0003502151996722094
R_C4STMO2@iMM904,0.0003502151996722094
R_C5STDS@iMM904,0.0
R_C8STI@iMM904,0.0
R_CAT@iMM904,0.0
R_CATp@iMM904,0.0
R_CBASPtn@iMM904,0.0
R_CBPS@iMM904,0.043187901668668364
R_CBPtn@iMM904,0.0
R_CCP2m@iMM904,0.0
R_CDPDGPm_SC@iMM904,0.0
R_CDPtn@iMM904,0.0
R_CER1_24ter@iMM904,0.0
R_CER1_26ter@iMM904,0.0
R_CER2_24ter@iMM904,0.0
R_CER2_26ter@iMM904,0.0
R_CERASE124er@iMM904,0.0
R_CERASE126er@iMM904,0.0
R_CERASE224er@iMM904,0.0
R_CERASE226er@iMM904,0.0
R_CERH124_copy1@iMM904,0.0
R_CERH126_copy1@iMM904,0.0
R_CERS124@iMM904,0.0
R_CERS124er@iMM904,0.0
R_CERS126@iMM904,0.0
R_CERS126er@iMM904,0.0
R_CERS224@iMM904,0.0
R_CERS224er@iMM904,0.0
R_CERS226@iMM904,0.0
R_CERS226er@iMM904,0.0
R_CERH124_copy2@iMM904,0.0
R_CERH126_copy2@iMM904,0.0
R_CERS324@iMM904,0.0
R_CERS326@iMM904,0.0
R_CHLPCTD@iMM904,0.0
R_CHLSTI@iMM904,0.00011143210898661208
R_CHLt2@iMM904,0.0
R_CHOLK@iMM904,0.0
R_CHORM@iMM904,0.037552620728488265
R_CHORS@iMM904,0.042073580578802235
R_CHRPL@iMM904,0.0
R_CHTNDA@iMM904,0.0
R_CHTNS@iMM904,0.0
R_CITt2r@iMM904,0.0
R_CITtam@iMM904,-0.5045654618605168
R_CITtap@iMM904,0.0
R_CITtbm@iMM904,0.0
R_CITtcm@iMM904,0.0
R_CITtcp@iMM904,0.0
R_CLPNSm_SC@iMM904,0.0
R_CMPN@iMM904,0.0
R_CO2t@iMM904,-9.502219896119922
R_CO2tg@iMM904,0.0
R_CO2tm@iMM904,-1.5415997051899322
R_CO2tn@iMM904,0.0
R_CO2tp@iMM904,0.0
R_CO2tv@iMM904,0.0
R_COAHLp@iMM904,0.0
R_COAtim@iMM904,0.0021012911980331853
R_COAtn@iMM904,0.0
R_COUCOAFm@iMM904,0.0
R_CPPPGO@iMM904,0.0
R_CRNCARtm@iMM904,0.0
R_CRNCARtp@iMM904,0.0
R_CRNt@iMM904,0.0
R_CRNtim@iMM904,0.0
R_CRNtp@iMM904,0.0
R_CSNATm@iMM904,0.0
R_CSNATp@iMM904,0.0
R_CSNATr@iMM904,0.0
R_CSND@iMM904,0.0
R_CSNt2@iMM904,0.0
R_CSm@iMM904,0.6501276339424569
R_CSp@iMM904,0.0
R_CTPS1@iMM904,0.007115736102430798
R_CTPS2@iMM904,0.0
R_CTPtm@iMM904,0.0
R_CYOOm@iMM904,1.9911268203501231
R_CYOR_u6m@iMM904,3.9822536407002462
R_CYSS@iMM904,0.0
R_CYSTGL@iMM904,0.001050645599016628
R_CYSTL@iMM904,0.0
R_CYSTLp@iMM904,0.0
R_CYSTRS@iMM904,0.0
R_CYSTS@iMM904,0.001050645599016628
R_CYSTtp@iMM904,0.0
R_CYSt2r@iMM904,0.0
R_CYTD@iMM904,0.0
R_CYTDK2@iMM904,0.0
R_CYTDt2@iMM904,0.0
R_CYTK1@iMM904,-0.004329933377765497
R_CYTK2@iMM904,0.0
R_DADA@iMM904,0.0
R_DADK@iMM904,-0.0005730794176454335
R_DADNt2@iMM904,0.0
R_DADPtn@iMM904,0.0
R_DAGCPT_SC@iMM904,0.0
R_DAGPYP_SC@iMM904,0.001050645599016628
R_DANNt2@iMM904,0.0
R_DASYN_SC@iMM904,0.002785802724665302
R_DASYNm_SC@iMM904,0.0
R_DB4PS@iMM904,0.00031519367970498844
R_DBTS@iMM904,0.0
R_DCDPtn@iMM904,0.0
R_DCMPDA@iMM904,-0.00038205294509695563
R_DCTPD@iMM904,0.0
R_DCYTD@iMM904,0.0
R_DCYTt2@iMM904,0.0
R_DDPA@iMM904,0.042073580578802235
R_DDPAm@iMM904,0.0
R_DESAT14@iMM904,0.0
R_DESAT16@iMM904,0.0015154766822179245
R_DESAT18@iMM904,0.0
R_DESAT18_2@iMM904,0.0008023111847036068
R_DGDPtn@iMM904,0.0
R_DGGH@iMM904,0.0
R_DGK1@iMM904,-0.00038205294509695563
R_DGSNt2@iMM904,0.0
R_DHAD1m@iMM904,0.08930487591641338
R_DHAD2m@iMM904,0.030675667716743068
R_DHAK@iMM904,0.0
R_DHAPtm@iMM904,0.0
R_DHFR@iMM904,0.0005730794176454344
R_DHFRim@iMM904,-8.673617379884034e-19
R_DHFS@iMM904,0.0
R_DHFtm@iMM904,-8.673617379884034e-19
R_DHNPAm@iMM904,0.0
R_DHNPTtm@iMM904,0.0
R_DHORD4i@iMM904,0.0
R_DHORDfum@iMM904,0.017606273219884703
R_DHORDi@iMM904,0.0
R_DHORTS@iMM904,-0.017606273219884703
R_DHPSm@iMM904,0.0
R_DHPTtm@iMM904,0.0
R_DHQS@iMM904,0.042073580578802235
R_DHQTi@iMM904,0.042073580578802235
R_DIAT@iMM904,0.0
R_DINSt2@iMM904,0.0
R_DIPS@iMM904,0.0
R_DKMPPD2@iMM904,0.0
R_DMATT@iMM904,0.0007004303993444188
R_DNMPPA@iMM904,0.0
R_DNTPPA@iMM904,0.0
R_DOLK@iMM904,0.0
R_DOLPMMer@iMM904,0.1286085726432627
R_DOLPMTcer@iMM904,0.1286085726432627
R_DOLPt2er@iMM904,-0.1286085726432627
R_DPCOAK@iMM904,0.0
R_DPCOAKm@iMM904,0.0
R_DPGM@iMM904,0.0
R_DPMVD@iMM904,0.002101291198033257
R_DPR@iMM904,0.0
R_DPRm@iMM904,0.0
R_DRBK@iMM904,0.0
R_DROPPRy@iMM904,0.00015759683985249422
R_DRTPPD@iMM904,0.00015759683985249422
R_DTMPK@iMM904,0.0
R_DTTPt@iMM904,0.0
R_DUMPtn@iMM904,0.0
R_DURIK1@iMM904,0.0
R_DURIPP@iMM904,0.0
R_DURIt2@iMM904,0.0
R_DUTPDP@iMM904,0.0
R_DXHPScm@iMM904,0.0
R_D_LACDcm@iMM904,0.0
R_D_LACDm@iMM904,0.0
R_D_LACt2@iMM904,0.0
R_D_LACt2m@iMM904,-0.9584602795084124
R_D_LACtm@iMM904,0.9584602795084124
R_E4HGLUtm@iMM904,0.0
R_E4HGLUtp@iMM904,0.0
R_E4Ptm@iMM904,0.0
R_ECOAH11p@iMM904,0.0
R_ECOAH4p@iMM904,0.0
R_ECOAH5p@iMM904,0.0
R_ECOAH6p@iMM904,0.0
R_ECOAH7p@iMM904,0.0
R_ECOAH8p@iMM904,0.0
R_EHGLAT@iMM904,0.0
R_EHGLATm@iMM904,0.0
R_EHGLATp@iMM904,0.0
R_ENO@iMM904,8.883988471246678
R_EPGALURSe@iMM904,0.0
R_EPISTAT_SC@iMM904,0.0
R_EPISTESTH_SC@iMM904,0.0
R_EPISTESTH_SCe@iMM904,0.0
R_EPISTt@iMM904,0.0
R_EPMGH@iMM904,0.0
R_ERGSTAT_SC@iMM904,0.0
R_ERGSTESTH_SC@iMM904,0.0
R_ERGSTESTH_SCe@iMM904,0.0
R_ERGSTGLCT@iMM904,0.0
R_ERGSTt@iMM904,0.0
R_ERGSTter@iMM904,0.00011143210898661208
R_ERGTETROLter@iMM904,0.00011143210898661208
R_ETHAK@iMM904,0.0
R_ETHAPT_SC@iMM904,0.0
R_ETHAt@iMM904,0.0
R_ETOHt@iMM904,-7.388107048968547
R_ETOHtm@iMM904,0.0
R_EX_13BDglcn_e@iMM904,0.0
R_EX_2hb_e@iMM904,0.0
R_EX_2mbac_e@iMM904,0.0
R_EX_2mbald_e@iMM904,0.0
R_EX_2mbtoh_e@iMM904,0.0
R_EX_2mppal_e@iMM904,0.0
R_EX_2phetoh_e@iMM904,0.0
R_EX_3c3hmp_e@iMM904,0.0
R_EX_3mbald_e@iMM904,0.0
R_EX_3mop_e@iMM904,0.0
R_EX_4abut_e@iMM904,0.0
R_EX_4abz_e@iMM904,0.0
R_EX_5aop_e@iMM904,0.0
R_EX_8aonn_e@iMM904,0.0
R_EX_Nbfortyr_e@iMM904,0.0
R_EX_abt_e@iMM904,0.0
R_EX_ac_e@iMM904,0.0
R_EX_acald_e@iMM904,0.0
R_EX_aces_e@iMM904,0.0
R_EX_ade_e@iMM904,0.0
R_EX_adn_e@iMM904,0.0
R_EX_akg_e@iMM904,0.0
R_EX_ala__L_e@iMM904,0.0
R_EX_alltn_e@iMM904,0.0
R_EX_alltt_e@iMM904,0.0
